Date,Time,Symbol,Quantity,Price,Side,Commission
2023-12-12,16:00:00,CTRA,10.27,24.36,Compra,0.0
2024-01-11,10:44:00,CHPT,159.58,1.88,Compra,0.0
2024-02-22,12:40:00,RIVN,35.0,11.43,Compra,0.0
2024-03-04,18:30:00,BTC,-0.0392,68100.0,Cierre,0.0
2024-03-04,18:31:00,ETH,-0.4081,3620.0,Cierre,0.0
2024-03-04,18:32:00,SOL,-13.9435,132.5,Cierre,0.0
2024-03-04,18:35:00,SAND,-200.0,0.685,Cierre,0.0
2024-03-05,09:33:00,DAL,-6.91,41.5,Cierre,0.0
2024-03-05,09:34:00,WYNN,-3.33,99.0,Cierre,0.0
2024-03-05,09:35:00,CCL,-24.4,16.0,Cierre,0.0
2024-03-05,09:37:00,EXAS,-4.53,58.99,Cierre,0.0
2024-03-05,09:38:00,XPEV,-19.38,9.1,Cierre,0.0
2024-03-05,09:38:00,PTON,-53.58,4.35,Cierre,0.0
2024-03-05,09:39:00,PARA,-11.0,10.25,Cierre,0.0
2024-03-05,09:40:00,SE,-2.99,55.0,Cierre,0.0
2024-03-05,09:40:00,CRSP,-7.0,80.0,Cierre,0.0
2024-03-05,09:41:00,TDOC,-10.98,14.5,Cierre,0.0
2024-03-05,09:42:00,AAL,-40.7,14.6,Cierre,0.0
2024-03-05,09:43:00,PYPL,-2.99,60.1,Cierre,0.0
2024-03-05,09:43:00,SQ,-2.9776,76.3,Cierre,0.0
2024-03-05,10:56:00,BOIL,-4.25,18.25,Cierre,0.0
2024-03-11,08:20:00,EURUSD,1830.5,1.0926,Venta,0.0
2024-03-21,08:43:00,SPY,1.91022,523.5,Venta,0.0
2024-03-28,13:50:00,VBR,-3.24,191.71,Cierre,0.0
2024-04-22,13:14:00,RIVN,34.091,8.8,Compra,0.0
2024-06-18,08:30:00,SPY,3.656,547.16,Venta,0.0
2024-08-04,21:55:00,ETH,0.13044,2300.0,Compra,0.0
2024-08-05,07:51:00,BTC,0.006,50000.0,Compra,0.0
2024-08-19,11:37:00,PENN,15.1,19.88,Compra,0.0
2024-09-05,08:58:00,DLTR,6.42,62.4,Compra,0.0
2024-09-09,09:10:00,TLT,4.025,99.4,Compra,0.0
2024-09-09,11:56:00,CVS,5.31,56.6,Compra,0.0
2024-09-13,12:36:00,XOM,2.69,111.79,Compra,0.0
2024-10-31,09:35:00,PENN,-15.1,20.45,Cierre,0.0
2024-10-31,09:56:00,TSLA,-2.0,254.8,Cierre,0.0
2024-10-31,09:59:00,LMND,-30.703,24.4,Cierre,0.0
2024-10-31,10:21:00,DOCU,-4.49,69.45,Cierre,0.0
2024-10-31,10:23:00,DKNG,-7.17,36.35,Cierre,0.0
2024-10-31,10:37:00,RBLX,-14.92,50.21,Cierre,0.0
2024-10-31,10:52:00,TWLO,-8.0,80.97,Cierre,0.0
2024-10-31,10:53:00,MANA,-730.986,0.29,Cierre,0.0
2024-10-31,10:53:00,BTC,-0.003,70825.99,Cierre,0.0
2024-10-31,10:54:00,ETH,-0.0652,2545.75,Cierre,0.0
2024-11-07,08:41:00,BTC,-0.003,74650.0,Cierre,0.0
2024-11-07,08:43:00,ETH,-0.0652,2808.0,Cierre,0.0
2024-11-20,09:35:00,BWXT,3.0781069642170067,129.95,Compra,0.0
2024-11-25,12:49:00,CVNA,1.55,259.27,Venta,0.0
2025-01-29,09:31:00,VST,1.359,147.25,Compra,0.0
2025-01-29,09:32:00,CEG,0.7168,279.03,Compra,0.0
2025-02-14,10:26:00,JD,-17.13,41.34,Cierre,0.0
